canonical_candidate,gpu_model,vram_gb,price_aud_observed,best_url,source_type,evidence_count,conversation_count,top_conversation_title,sample_excerpt,conversation_ids
msi vector 17,rtx 3090,24,UNKNOWN,https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com,ChatGPT-Export,1,1,MSI Vector 17 HX AI,"([ebay.com.au](https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com))
- Gumtree AU shows local RTX 3090 examples including a Hampton Park VIC listing at **$1,500**, but private-sale GPU risk ",69f3c88f-77b8-839f-a680-2ea7eafaad84
UNKNOWN,rtx 3080 ti,32,3028.87,UNKNOWN,ChatGPT-Export,1,1,RTX 3080 Ti Laptop Search,"\ue200cite\ue202turn10view1\ue202turn12view0\ue201 | 7.9 | 0.42 |\n| \ue200entity\ue202[\""product\"",\""ASUS ROG Zephyrus Duo 16\"",\""2023 gaming laptop\""]\ue201 (Ryzen 9 / 32GB / 1TB / RTX 4080 alt) | \ue200url\ue202eBay \u2022 eversmen\ue202turn33view0\ue201 | A$3,028.87 \ue200cit",69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
asus rog strix scar 17,rtx 3080 ti,16,4899,UNKNOWN,ChatGPT-Export,1,1,RTX 3080 Ti Laptop Search,"ASUS ROG Strix Scar 17 X3D RTX 4090 16GB — claimed around AUD $4,899 but possibly out of stock
5.",69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
msi raider ge78,rtx 3080 ti,16,3500,UNKNOWN,ChatGPT-Export,1,1,RTX 3080 Ti Laptop Search,"MSI Raider GE78 HX RTX 4090 16GB — claimed around AUD $3,500 used
6.",69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
lenovo legion 9i,rtx 3080 ti,UNKNOWN,7999,UNKNOWN,ChatGPT-Export,1,1,RTX 3080 Ti Laptop Search,"Do not spend time deeply verifying obvious rejects unless needed for benchmark context:
- MSI Titan 18 HX around AUD $7,999
- Razer Blade 16 around AUD $7,899
- Lenovo Legion 9i RTX 5090 around AUD $9,999
- Infinity N7 Core around AUD $6,599
- ASUS Scar 18 RTX 4080 around AUD $5,",69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
lenovo legion 9i,rtx 3080 ti,24,10,UNKNOWN,ChatGPT-Export,1,1,RTX 3080 Ti Laptop Search,"Lenovo Legion 9i (RTX 5090) – Scorptec $9,999
: Top VRAM (24 GB) but price (~AU$10k) is far above target.",69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
lenovo legion pro 7i,rtx 3080 ti,UNKNOWN,3855,UNKNOWN,ChatGPT-Export,1,1,RTX 3080 Ti Laptop Search,"Lenovo Legion Pro 7i (RTX 4090) from UK @AU$3,855",69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
hp omen max,rtx 3080 ti,UNKNOWN,3.2,UNKNOWN,ChatGPT-Export,1,1,RTX 3080 Ti Laptop Search,"citeturn800348search2turn399386search0turn399386search1 |
| “HP Omen Max 16 open-box RTX 5080 is around A$3.2k landed” | Plausible only as a **historical / limited open-box freight-forwarding opportunity**.",69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
msi vector 16,rtx 3080 ti,16,4299,UNKNOWN,ChatGPT-Export,1,1,RTX 3080 Ti Laptop Search,"| Rank | Candidate | Price / landed estimate | GPU / VRAM | RAM / SSD / screen | Condition / risk | Fit |
|---:|---|---:|---|---|---|---|
| **1** | **MSI Vector 16 HX AI A2XWIG-213AU — Mwave AU** | **A$4,299** | RTX 5080 Laptop, **16GB GDDR7** | Core Ultra 9 275HX, **32GB**, **2T",69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
msi raider ge68,rtx 3080 ti,16,4299,UNKNOWN,ChatGPT-Export,1,1,RTX 3080 Ti Laptop Search,"citeturn573616search1turn573616search2turn999715calculator0 |
| **3** | **MSI Raider GE68 RTX 4090 — AU eBay** | Observed **A$4,299–A$4,999 + shipping**; verify live | RTX 4090 Laptop, **16GB** | i9-14900HX, **32GB**, **2TB**, 16"" 3840×2400 120Hz | AU seller, small feedback ",69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
hp omen max,rtx 3080 ti,16,3162,UNKNOWN,ChatGPT-Export,1,1,RTX 3080 Ti Laptop Search,"citeturn614204search1 |
| **5** | **HP Omen Max 16 RTX 5080 — Best Buy US open-box** | Historical open-box estimate: **~A$3,162 before freight-forwarding** | RTX 5080 Laptop, **16GB** | Core Ultra 9 275HX, **32GB**, **2TB**, 16"" OLED 240Hz | Freight-forwarder dependency; avail",69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
msi titan raider,rtx 3080 ti,16,3.8,UNKNOWN,ChatGPT-Export,1,1,RTX 3080 Ti Laptop Search,"citeturn573616search4turn453136search1turn999715calculator1 |
| **6** | **MSI Titan / Raider 18 RTX 4090 UK eBay options** | Around **A$3.8k–A$4.4k before/with postage depending listing** | RTX 4090 Laptop, **16GB** | Often 32GB/2TB, QHD+ or 4K panels | Import/returns vary; ",69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
msi stealth gs77,rtx 3080 ti,16,2.2,UNKNOWN,ChatGPT-Export,1,1,RTX 3080 Ti Laptop Search,"citeturn235105search2turn235105search4 |
| **7** | **MSI Stealth GS77 RTX 3080 Ti** | Only attractive if **~A$2.2k–A$2.5k landed** | RTX 3080 Ti Laptop, usually **16GB** | i9-12900H, 32GB, 1TB, 17.3"" 4K 120Hz | Older, thinner chassis, lower GPU power than big Raiders/Legions ",69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
asus rog strix scar 18,rtx 3080 ti,24,8,UNKNOWN,ChatGPT-Export,1,1,RTX 3080 Ti Laptop Search,"citeturn512290search0turn512290search1 |
| **8** | **ASUS ROG Strix Scar 18 RTX 5090 24GB** | **A$8k–A$10k+** verified examples | RTX 5090 Laptop, **24GB** | Ultra 9 275HX, 32GB, 2TB, 18"" 240Hz Mini LED | Technically ideal VRAM tier, financially wrong | Confirms the >16GB lap",69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
UNKNOWN,rtx 3080 ti,UNKNOWN,4999,UNKNOWN,ChatGPT-Export,1,1,RTX 3080 Ti Laptop Search,"The GE68 is attractive because it is AU-based and has RTX 4090-class performance, but the evidence is messy: one indexed listing shows A$4,999, while another eBay result card shows A$4,299.",69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
razer blade 15,rtx 3080 ti,UNKNOWN,2.4,UNKNOWN,ChatGPT-Export,1,1,RTX 3080 Ti Laptop Search,"| Prior-report class | New status |
|---|---|
| Razer Blade 15 RTX 3080 Ti | Only compelling under ~A$2.4k–A$2.7k landed and with battery proof.",69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
UNKNOWN,rtx 5090,16,4500,UNKNOWN,ChatGPT-Export,1,1,Deep Research Error,"Buyer context:
- Location: Melbourne, VIC, Australia
- Use case: AI-assisted coding, design, gaming, productivity, local LLM/image-generation experimentation
- Main target: NVIDIA RTX laptops with 16GB+ VRAM
- 12GB VRAM laptops are allowed only as value exceptions
- Preference: 1",6a002701-3fb8-83ec-b3ef-af4e51f8c75f
razer blade 18,rtx 4090,16,4789,UNKNOWN,ChatGPT-Export,1,1,Deep Research Error,"Razer Blade 18 RTX 4090 16GB — claimed around AUD $4,789
2.",6a002701-3fb8-83ec-b3ef-af4e51f8c75f
hp omen 17,rtx 4090,16,3500,UNKNOWN,ChatGPT-Export,1,1,Deep Research Error,"HP Omen 17 RTX 4090 16GB — claimed around AUD $3,500 used/open-box
4.",6a002701-3fb8-83ec-b3ef-af4e51f8c75f
asus rog strix scar 17,rtx 4090,16,4899,UNKNOWN,ChatGPT-Export,1,1,Deep Research Error,"ASUS ROG Strix Scar 17 X3D RTX 4090 16GB — claimed around AUD $4,899 but possibly out of stock
5.",6a002701-3fb8-83ec-b3ef-af4e51f8c75f
msi raider ge78,rtx 4090,16,3500,UNKNOWN,ChatGPT-Export,1,1,Deep Research Error,"MSI Raider GE78 HX RTX 4090 16GB — claimed around AUD $3,500 used
6.",6a002701-3fb8-83ec-b3ef-af4e51f8c75f
lenovo legion 9i,rtx 4090,16,4500,UNKNOWN,ChatGPT-Export,1,1,Deep Research Error,"Any directly equivalent RTX 4090 / RTX 5080 16GB laptop under AUD $4,500 that appears during verification
Do not spend time deeply verifying obvious rejects unless needed for benchmark context:
- MSI Titan 18 HX around AUD $7,999
- Razer Blade 16 around AUD $7,899
- Lenovo Legion",6a002701-3fb8-83ec-b3ef-af4e51f8c75f
