source_type,conversation_id,conversation_title,message_timestamp,candidate_excerpt,gpu_models,vram_gb,price_aud,urls,filter_basis,confidence_score
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"| Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **MSI Vector A18 HX A9WHG-062AU** https://www.tecs.com.au/EX-DISPLAY%3A-MSI-Vector-A18-HX-A9WHG-062AU-AMD-Ryzen-9-9955HX%2C-RTX-5070-Ti-12GB%2C-32GB-DDR5-RAM%2C-1TB-NVMe-SSD%2C-18%22-2560-x-1600-240Hz%2C-Windows-11-Home-Advanced%2C-1-Year-Warranty-X5420BB-21791/ Ryzen 9 9955HX; RTX 5070 Ti 12GB; 32GB DDR5; 1TB NVMe; 18-inch 2560×1600 240Hz; Windows 11 Home Advanced; 1-year warranty AUD $3,150; ex-display **12GB VRAM** **Comprom",RTX 5070 Ti,12,3150,https://www.tecs.com.au/EX-DISPLAY%3A-MSI-Vector-A18-HX-A9WHG-062AU-AMD-Ryzen-9-9955HX%2C-RTX-5070-Ti-12GB%2C-32GB-DDR5-RAM%2C-1TB-NVMe-SSD%2C-18%22-2560-x-1600-240Hz%2C-Windows-11-Home-Advanced%2C-1-Year-Warranty-X5420BB-21791/,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"|
| LP-007 | Unknown | Unknown | AUD $4,659 | **16GB VRAM** | **16GB VRAM** | Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Pioneer DreamBook Power X370 RTX 4090** HPL / prior research i9-13900HX; RTX 4090 Laptop 16GB; 32GB RAM; 2×1TB NVMe; 17.3-inch 1440p 240Hz AUD $4,659 **16GB VRAM** **Watchlist** Strong Aussie desktop-replacement; 3.44kg and dated design.",RTX 4090,16,4659,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"|
| LP-008 | Unknown | Unknown | AUD $4,499+ class | **16GB VRAM** | **16GB VRAM** | Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Dell Alienware m18 / Area-51 18-inch RTX 4090 class** Dell AU / Dell Outlet path Intel HX i7/i9; RTX 4090 Laptop 16GB where configured; up to 64GB RAM; large 18-inch chassis AUD $4,499+ class **16GB VRAM** **Watchlist / over-budget risk** Best if Dell Outlet has 64GB/2TB/RTX 4090 at discount.",RTX 4090,16,4499,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"AUD $2,899 in prior review context | **8GB VRAM likely** | **8GB VRAM likely** | Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Aorus 16X ASG** SMBtech category reference from prior report i9-14900HX; RTX 4070; 16-inch 2560×1600 165Hz Approx.",RTX 4070,8,2899,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"AUD $3,000–$4,100 | **24GB VRAM external** | **24GB VRAM external** | Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Minisforum MS-01 + DEG1 OCuLink + RTX 3090 24GB** Stage 2 compact 24GB path Minisforum MS-01; DEG1 dock; RTX 3090 24GB; 64GB RAM preferred; 2TB NVMe; external PSU Est.",RTX 3090,24,3000,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"AUD $2,400–$3,300 | **16GB VRAM external** | **16GB VRAM external** | Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Minisforum MS-01 + DEG1 OCuLink + RTX 4070 Ti Super 16GB** Stage 2 compact modular path MS-01; DEG1 dock; RTX 4070 Ti Super 16GB; 64GB RAM preferred Est.",RTX 4070 Ti,16,2400,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"AUD $3,400–$4,600 bundle | Unknown | **24GB VRAM / strongest value** | **24GB VRAM / strongest value** | Unknown | Unknown | **Custom RTX 3090 24GB desktop + refurbished ThinkPad bundle** Prior Stage 2 shortlist Ryzen 7 7700 / 7800X3D / i7-class; RTX 3090 24GB; 64GB RAM preferred; 2TB NVMe; 850W Gold PSU; refurb ThinkPad-class laptop Est.",RTX 3090,24,3400,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"|
| DT-002 | Unknown | AUD $1,799 GPU; 12-month warranty noted in prior research | Unknown | **24GB VRAM** | **24GB VRAM** | Unknown | Unknown | **Mike PC MSI RTX 3090 AERO 24GB GPU build route** https://mikepc.com.au/products/msi-rtx-3090-aero-24gb-graphics-card RTX 3090 AERO 24GB GPU used as build anchor AUD $1,799 GPU; 12-month warranty noted in prior research **24GB VRAM** **Active shortlist** Verify immediate stock/ETA, GPU condition, invoice/warranty transfer, and whether Mike PC can build",RTX 3090,24,1799,https://mikepc.com.au/products/msi-rtx-3090-aero-24gb-graphics-card,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"| Unknown | Unknown | **Supertech RTX 4090 Gaming PC** https://supertechcomputers.com.au/product/rtx4090-gaming-pc/ i7-14700K; RTX 4090 24GB; 32GB RAM; 1TB Kingston KC3000 SSD; 850W PSU AUD $5,799 sale; new **24GB VRAM / extreme stretch** **Watchlist** Highest raw local-AI capability in previous report, but beyond preferred budget and likely overkill unless 24GB VRAM is non-negotiable.",RTX 4090 | rtx4090,24,5799,https://supertechcomputers.com.au/product/rtx4090-gaming-pc/,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"| Unknown | Unknown | **Nebula PC R7 7800X3D / RTX 4080 desktop** Prior OzBargain/Nebula listing Ryzen 7 7800X3D; RTX 4080 16GB; 16GB DDR5; 1TB NVMe AUD $2,948 after coupon; historic deal **16GB VRAM** **Active shortlist if deal returns** Strong value, but RAM should be upgraded to 32GB/64GB.",RTX 4080,16,2948,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"| Unknown | Unknown | **PLE AI Advanced RTX 5070 Ti 16GB desktop** PLE AI development build referenced in Stage 2 Ryzen 7 9700X; RTX 5070 Ti 16GB; 32GB DDR5-6000; 2TB NVMe AUD $3,907; built to order **16GB VRAM** **Active shortlist** Clean AU retail path under $4k; 16GB VRAM ceiling is the main compromise.",RTX 5070 Ti,16,3907,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"AUD $4,000–$4,500 | Unknown | **16GB VRAM** | **16GB VRAM** | Unknown | Unknown | **RTX 4080 Super 16GB desktop / refurbished MSI Infinite X2 class** Mwave / Mike PC / eBay AU class from Stage 2 i7-14700F/KF-class; RTX 4080 Super 16GB; 32GB RAM; 2TB SSD class Est.",RTX 4080,16,4000,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"| Unknown | Unknown | **CONSTELLAR ONYX PC — RTX 4080 SUPER** Mike PC AU product-search result RTX 4080 Super desktop; other specs not retained AUD $4,099; condition UNKNOWN **16GB VRAM** **Watchlist** Needs direct verification of CPU, RAM, SSD, PSU, warranty, stock, and return policy.",RTX 4080,16,4099,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"|
| DT-008 | Unknown | AUD $4,988; new/retail assumed | Unknown | **16GB VRAM** | **16GB VRAM** | Unknown | Unknown | **Acer Predator Orion 7000 RTX 4080 SUPER desktop** Domayne + other merchants product-search result RTX 4080 Super desktop; other specs not retained AUD $4,988; new/retail assumed **16GB VRAM** **Compromise / over-budget warning** Above target budget; only relevant if discounted heavily or bundled with strong warranty.",RTX 4080,16,4988,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"| Unknown | Unknown | **Evatech 7800X3D / RTX 4070 Ti desktop** Historic OzBargain/Evatech listing Ryzen 7 7800X3D; RTX 4070 Ti 12GB; 32GB RAM; 1TB SSD AUD $2,599 historic special; new **12GB VRAM** **Compromise** Good gaming/value desktop, but 12GB VRAM limits serious local-AI trajectory.",RTX 4070 Ti,12,2599,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,| Unknown | Unknown | **Acer Predator Orion 7000 / other RTX 4080S retail desktops** General desktop route from Stage 2 RTX 4080 Super 16GB; CPU/RAM vary AUD $4.5k–$5k+ class **16GB VRAM** **Watchlist** Use only where warranty and discount are strong.,RTX 4080,16,4.5,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"| Unknown | Unknown | **Lenovo Legion Pro 7i i9-14900HX RTX 4090** https://mikepc.com.au/products/lenovo-legion-pro-7i-i9-14900hx-32gb-2tb-ssd-rtx-4090-2k-240hz-1y-wty i9-14900HX; RTX 4090 Laptop 16GB; 32GB/64GB DDR5; 2TB SSD; 16-inch 2K/240Hz; 1-year warranty Prior Mike PC listing around AUD $3,599–$4,399 depending config **16GB VRAM** **Active shortlist** Best emotional-but-defensible one-machine route if price is closer to $3.6k and ideally 64GB RAM.",RTX 4090,32,3599,https://mikepc.com.au/products/lenovo-legion-pro-7i-i9-14900hx-32gb-2tb-ssd-rtx-4090-2k-240hz-1y-wty,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"| Unknown | **16GB VRAM** | **16GB VRAM** | Unknown | Unknown | **Lenovo Legion Pro 7 i9-13900HX RTX 4090** Current/reformatted report; BuyWisely/DeviceDeal/Amazon AU class i9-13900HX; RTX 4090 Laptop 16GB; 32GB RAM; 2TB SSD; 16-inch 2560×1600 240Hz AUD $4,399–$4,575 class; stock variable **16GB VRAM** **Watchlist** Powerful, but laptop tax remains high.",RTX 4090,16,4399,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"|
| LP-003 | Unknown | AUD $5,999 in search result | Unknown | **Likely 16GB VRAM if RTX 4090** | **Likely 16GB VRAM if RTX 4090** | Unknown | Unknown | **Lenovo Legion Pro 7i direct Lenovo option** Lenovo + other merchants product-search result Legion Pro 7i gaming laptop; exact config not retained AUD $5,999 in search result **Likely 16GB VRAM if RTX 4090** **Rejected / overpriced unless discounted** Direct Lenovo price too high unless education/business discounts drastically reduce it.",RTX 4090,16,5999,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"| Unknown | Unknown | **MSI Vector A18 HX A9WHG-062AU** https://www.tecs.com.au/EX-DISPLAY%3A-MSI-Vector-A18-HX-A9WHG-062AU-AMD-Ryzen-9-9955HX%2C-RTX-5070-Ti-12GB%2C-32GB-DDR5-RAM%2C-1TB-NVMe-SSD%2C-18%22-2560-x-1600-240Hz%2C-Windows-11-Home-Advanced%2C-1-Year-Warranty-X5420BB-21791/ Ryzen 9 9955HX; RTX 5070 Ti 12GB; 32GB DDR5; 1TB NVMe; 18-inch 2560×1600 240Hz; Windows 11 Home Advanced; 1-year warranty AUD $3,150; ex-display **12GB VRAM** **Compromise / deal triage** Very relevant large-screen ",RTX 5070 Ti,12,3150,https://www.tecs.com.au/EX-DISPLAY%3A-MSI-Vector-A18-HX-A9WHG-062AU-AMD-Ryzen-9-9955HX%2C-RTX-5070-Ti-12GB%2C-32GB-DDR5-RAM%2C-1TB-NVMe-SSD%2C-18%22-2560-x-1600-240Hz%2C-Windows-11-Home-Advanced%2C-1-Year-Warranty-X5420BB-21791/,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"|
| LP-007 | Unknown | AUD $4,659 | Unknown | **16GB VRAM** | **16GB VRAM** | Unknown | Unknown | **Pioneer DreamBook Power X370 RTX 4090** HPL / prior research i9-13900HX; RTX 4090 Laptop 16GB; 32GB RAM; 2×1TB NVMe; 17.3-inch 1440p 240Hz AUD $4,659 **16GB VRAM** **Watchlist** Strong Aussie desktop-replacement; 3.44kg and dated design.",RTX 4090,16,4659,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"|
| LP-008 | Unknown | AUD $4,499+ class | Unknown | **16GB VRAM** | **16GB VRAM** | Unknown | Unknown | **Dell Alienware m18 / Area-51 18-inch RTX 4090 class** Dell AU / Dell Outlet path Intel HX i7/i9; RTX 4090 Laptop 16GB where configured; up to 64GB RAM; large 18-inch chassis AUD $4,499+ class **16GB VRAM** **Watchlist / over-budget risk** Best if Dell Outlet has 64GB/2TB/RTX 4090 at discount.",RTX 4090,16,4499,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"AUD $2,899 in prior review context | Unknown | **8GB VRAM likely** | **8GB VRAM likely** | Unknown | Unknown | **Aorus 16X ASG** SMBtech category reference from prior report i9-14900HX; RTX 4070; 16-inch 2560×1600 165Hz Approx.",RTX 4070,8,2899,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"AUD $3,000–$4,100 | Unknown | **24GB VRAM external** | **24GB VRAM external** | Unknown | Unknown | **Minisforum MS-01 + DEG1 OCuLink + RTX 3090 24GB** Stage 2 compact 24GB path Minisforum MS-01; DEG1 dock; RTX 3090 24GB; 64GB RAM preferred; 2TB NVMe; external PSU Est.",RTX 3090,24,3000,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"AUD $2,400–$3,300 | Unknown | **16GB VRAM external** | **16GB VRAM external** | Unknown | Unknown | **Minisforum MS-01 + DEG1 OCuLink + RTX 4070 Ti Super 16GB** Stage 2 compact modular path MS-01; DEG1 dock; RTX 4070 Ti Super 16GB; 64GB RAM preferred Est.",RTX 4070 Ti,16,2400,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"|
| PLE AI Advanced RTX 5070 Ti 16GB build | Tower | 3907.0 | Ryzen 7 9700X | 16.0 | 32GB DDR5 | 2TB NVMe | https://www.ple.com.au/nvidia/ai/aidevelopment | Clean local warranty route; less model-fit headroom than 24GB.",RTX 5070 Ti,16,,https://www.ple.com.au/nvidia/ai/aidevelopment,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"([ebay.com.au](https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com))
- Gumtree AU shows local RTX 3090 examples including a Hampton Park VIC listing at **$1,500**, but private-sale GPU risk is high.",RTX 3090,24,,https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com,project_term,3
ChatGPT-Export,69edd989-3720-8399-abdd-f6c623f8fa84,Search for desktops,2026-04-27T05:38:20.962657+00:00,"([ebay.com.au](https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com))
- Gumtree AU shows local RTX 3090 examples including a Hampton Park VIC listing at **$1,500**, but private-sale GPU risk is high.",RTX 3090,24,,https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com,project_term,3
ChatGPT-Export,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,2026-04-28T10:57:10.110806+00:00,"|Retailer|Mwave|[ASUS ROG Astral LC GeForce RTX 5090 OC Edition](https://www.mwave.com.au/product/asus-rog-astral-lc-geforce-rtx-5090-32gb-gddr7-oc-edition-video-card-ac56320)|ASUS ROG Astral LC|RTX 5090 32 GB GDDR7|$6,499|New|In stock【437213846293720†screenshot】|Australia|Liquid‑cooled variant; 32 GB GDDR7 memory, 512‑bit bus and 28 Gbps memory speed; includes 360 mm radiator【437213846293720†screenshot】.",GeForce RTX 5090 | RTX 5090,32,,https://www.mwave.com.au/product/asus-rog-astral-lc-geforce-rtx-5090-32gb-gddr7-oc-edition-video-card-ac56320,project_term,3
ChatGPT-Export,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,2026-04-28T10:57:10.110806+00:00,"|Retailer|Mwave|[ASUS ROG Astral GeForce RTX 5090 OC Edition](https://www.mwave.com.au/product/asus-rog-astral-geforce-rtx-5090-32gb-gddr7-oc-edition-video-card-ac56300)|ASUS ROG Astral OC|RTX 5090 32 GB GDDR7|$6,699|New|In stock【437213846293720†screenshot】|Australia|Air‑cooled OC edition with 32 GB GDDR7; Mwave list shows in‑stock and discounted pricing【437213846293720†screenshot】.",GeForce RTX 5090 | RTX 5090,32,,https://www.mwave.com.au/product/asus-rog-astral-geforce-rtx-5090-32gb-gddr7-oc-edition-video-card-ac56300,project_term,3
ChatGPT-Export,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,2026-04-28T10:57:10.110806+00:00,"|Marketplace (used)|eBay AU|[ZOTAC Gaming GeForce RTX 3090 Trinity 24 GB](https://www.ebay.com.au/itm/314495495380)|ZOTAC RTX 3090 Trinity|RTX 3090 24 GB GDDR6X|≈ $1,534 (CA $1,499.99)|Used|In‑stock (Buy‑It‑Now)【138326933064938†screenshot】|Ships from Canada to AU|Seller “cbgam_10” has **100 % positive feedback (54)**【138326933064938†screenshot】; used card with 24 GB VRAM; no explicit warranty.",GeForce RTX 3090 | RTX 3090,24,,https://www.ebay.com.au/itm/314495495380,project_term,3
ChatGPT-Export,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,2026-04-28T10:57:10.110806+00:00,"|Marketplace (used)|eBay AU|[GALAX RTX 3090 Turbo 24 GB Blower](https://www.ebay.com.au/itm/374532722985)|GALAX RTX 3090 Turbo|RTX 3090 24 GB GDDR6X|≈ $1,522 (US $1,089)|Used|In‑stock【417054984687687†screenshot】|Ships from USA to AU|Seller “e‑dealsglobal7” has **98.8 % positive feedback (84)**【417054984687687†screenshot】; listing notes cards are tested and working.",RTX 3090,24,,https://www.ebay.com.au/itm/374532722985,project_term,3
ChatGPT-Export,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,2026-04-28T10:57:10.110806+00:00,"|Marketplace (used)|eBay AU|[MSI RTX 3090 Turbo 24 GB Blower Type](https://www.ebay.com.au/itm/374562482583)|MSI RTX 3090 Turbo|RTX 3090 24 GB GDDR6X|≈ $1,580 (US $1,130)|Used|In‑stock【697491037217407†screenshot】|Ships from USA to AU|Same seller “e‑dealsglobal7” (98.8 % positive)【697491037217407†screenshot】; blower‑style cooler; tested working.",RTX 3090,24,,https://www.ebay.com.au/itm/374562482583,project_term,3
ChatGPT-Export,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,2026-04-28T10:57:10.110806+00:00,"|Marketplace (used)|eBay AU|[MSI GeForce RTX 3090 Ventus 3X OC 24 GB](https://www.ebay.com.au/itm/386766042946)|MSI Ventus 3X OC|RTX 3090 24 GB GDDR6X|$1,700|Used|In‑stock【204357195002292†screenshot】|Australia|Seller “scobejo” has **100 % positive feedback (1,212)**【204357195002292†screenshot】; used card with original box.",GeForce RTX 3090 | RTX 3090,24,,https://www.ebay.com.au/itm/386766042946,project_term,3
ChatGPT-Export,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,2026-04-28T10:57:10.110806+00:00,"([ebay.com.au](https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com))
- Gumtree AU shows local RTX 3090 examples including a Hampton Park VIC listing at **$1,500**, but private-sale GPU risk is high.",RTX 3090,24,,https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com,project_term,3
ChatGPT-Export,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,2026-04-28T10:57:10.110806+00:00,"Currently out of stock but demonstrates pricing.|
|Marketplace|Gumtree|[Inno3D RTX 3090 + Waterblock](https://www.gumtree.com.au/web/listing/components/1341574547)|Inno3D iChill RTX 3090|GeForce RTX 3090 24 GB|$1,800|Used|Available (pickup only)【802161753146694†screenshot】|Seville Grove, WA (pickup only)|Seller states the card is “well looked after” and includes an unused liquid‑cooling waterblock; local pickup only【802161753146694†screenshot】.|
|Marketplace|Various (used market)|Best‑value used",RTX 3090 | GeForce RTX 3090,24,1530,https://www.gumtree.com.au/web/listing/components/1341574547,project_term,3
ChatGPT-Export,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,2026-04-28T10:57:10.110806+00:00,"Moderate risk – no warranty or return.|
|Marketplace (typical)|eBay AU / used market|—|24|≈ $850–$1,050|Used|30‑day seller warranty (varies)|High‑rated sellers (> 95 % feedback)|Price tracker indicates used RTX 3090 cards average around US$1,000 (~A$1,530)【356063523441541†screenshot】.",RTX 3090,,1530,,project_term,3
ChatGPT-Export,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,2026-04-28T10:57:10.110806+00:00,"|Retailer|JB Hi‑Fi|[MSI Raider 18 HX AI 18″ UHD+ MiniLED 120 Hz](https://www.jbhifi.com.au/products/msi-raider-18-hx-ai-18-uhd-120hz-gaming-laptop)|MSI Raider 18 HX AI|RTX 5090 Laptop GPU 24 GB|Intel Ultra 9 285HX|128 GB DDR5|10 TB SSD (2 TB + 8 TB)|$11,999 (discounted to $8,488)|New|In stock【20598720163979†screenshot】|High‑end gaming laptop with **24 GB GDDR7 RTX 5090** GPU, 18″ UHD+ MiniLED display and up to **128 GB RAM**【20598720163979†screenshot】; extremely expensive but offers workstation‑",RTX 5090,24,,https://www.jbhifi.com.au/products/msi-raider-18-hx-ai-18-uhd-120hz-gaming-laptop,project_term,3
ChatGPT-Export,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,2026-04-28T10:57:10.110806+00:00,"|Marketplace|eBay AU|[ZOTAC Gaming GeForce RTX 3090 Trinity](https://www.ebay.com.au/itm/314495495380)|ZOTAC Trinity|24|≈ $1,534|Used|30‑day seller return|100 % positive (54) – **Low**|Used card; includes original packaging【138326933064938†screenshot】.",GeForce RTX 3090,,,https://www.ebay.com.au/itm/314495495380,project_term,3
ChatGPT-Export,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,2026-04-28T10:57:10.110806+00:00,"The **ZOTAC RTX 3090 Trinity** from seller *cbgam_10* (~A$1,534) comes from a 100 % feedback seller and represents a **low‑risk** purchase【138326933064938†screenshot】.",RTX 3090,,1534,,project_term,3
ChatGPT-Export,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,2026-04-30T18:54:09.898146+00:00,"([ebay.com.au](https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com))
- Gumtree AU shows local RTX 3090 examples including a Hampton Park VIC listing at **$1,500**, but private-sale GPU risk is high.",RTX 3090,24,,https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com,project_term,3
ChatGPT-Export,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,2026-04-30T18:54:09.898146+00:00,"|
| **Compact Alienware Aurora RTX 3090 / 4090 towers** | ✅ Conditional | Poor expansion, but can be excellent value if locally available around **~A$2k**.",RTX 3090,,2,,project_term,3
ChatGPT-Export,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,2026-04-30T18:54:09.898146+00:00,"| Product type | Worth considering if… | Strong value if… |
|---|---:|---:|
| **Alienware Aurora RTX 3090 24GB** | ≤ **A$2,800** | ≤ **A$2,200** |
| **Alienware Aurora RTX 4090 24GB** | ≤ **A$3,800** | ≤ **A$3,200** |
| **RTX 4090 laptop 16GB** | ≤ **A$4,000** | ≤ **A$3,500** |
| **RTX 5080 laptop 16GB** | ≤ **A$4,500** | ≤ **A$4,000** |
| **Razer Blade 18 / Alienware m18 / Legion Pro 7i** | Only if warranty/condition is credible | Strong if 64GB RAM and below market |
| **Mac Studio 64GB** | ≤ ",RTX 3090 | RTX 4090 | RTX 5080,24,2800 | 2200 | 3800 | 3200 | 4000 | 3500 | 4500,,project_term,3
ChatGPT-Export,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,2026-04-30T18:54:09.898146+00:00,A locally available **Alienware RTX 3090 tower around A$2k** should absolutely be scored.,RTX 3090,,2,,project_term,3
ChatGPT-Export,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,2026-04-30T18:54:09.898146+00:00,"```markdown
- **Expansion Class**: Single-GPU Value Exception
- **Expansion Verdict**: Not recommended for dual-GPU growth, but compelling if priced near A$2,000 due to included 24GB RTX 3090.",RTX 3090,24,2000,,project_term,3
ChatGPT-Export,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,2026-04-30T18:54:09.898146+00:00,"|
| **4** | **Alienware Aurora RTX 3090 around A$2k** | Single-GPU Value Exception | Bad expansion, potentially excellent 24GB VRAM value.",RTX 3090,24,2,,project_term,3
